player_id,player_name,rapm_per100,orapm_per100,drapm_per100,on_court_poss,games_played,poss_per_game
30,林書豪,3.79,2.2,-1.67,4697.0,30,156.6
104,貝奇,3.72,2.63,-0.93,5114.0,31,165.0
118,蘇文儒,3.66,1.98,-1.82,4085.0,31,131.8
120,威勝,2.9,1.74,-1.18,2397.0,15,159.8
16,米勒,2.55,0.67,-1.72,4104.0,27,152.0
33,曼尼高,2.49,1.78,-0.68,4601.0,30,153.4
34,沃許本,2.37,1.87,-0.5,4659.0,31,150.3
87,蔡宸綱,2.26,0.23,-1.87,1833.0,29,63.2
8889,馬可,2.21,1.23,-1.04,825.0,5,165.0
4181,艾德,2.17,1.6,-0.59,2978.0,19,156.7
78,朱雲豪,1.94,1.24,-0.61,2476.0,29,85.4
3000,麥卡倫,1.81,1.76,-0.03,3561.0,21,169.6
9034,薛斯基,1.71,1.2,-0.52,2072.0,15,138.1
4851,奈森,1.56,0.39,-1.07,3195.0,22,145.2
107,霍爾曼,1.55,1.5,-0.52,2332.0,17,137.2
58,林信寬,1.49,0.89,-0.48,5435.0,33,164.7
77,馬建豪,1.39,0.87,-0.45,4687.0,33,142.0
5948,克雷格,1.26,1.79,0.75,2650.0,20,132.5
106,高柏鎧,1.24,0.86,-0.49,4271.0,31,137.8
80,田浩,1.16,0.47,-0.68,714.0,12,59.5
29,林書緯,1.12,0.48,-0.47,4712.0,30,157.1
21,李愷諺,1.08,1.07,-0.13,2730.0,23,118.7
52,捷翼,1.07,1.22,0.08,399.0,3,133.0
94,簡浩,1.01,1.07,0.22,3796.0,36,105.4
26,洪志善,1.0,0.58,-0.53,1157.0,20,57.9
54,高錦瑋,0.96,1.35,0.32,6440.0,35,184.0
111,唐維傑,0.92,-0.05,-0.79,1158.0,25,46.3
4986,德芬,0.86,-0.47,-0.78,1209.0,7,172.7
103,忻沃克,0.86,0.23,-0.52,1767.0,20,88.3
8,王律翔,0.83,-0.05,-0.92,1593.0,25,63.7
31,强森,0.82,0.27,-0.39,1869.0,14,133.5
39,魏嘉豪,0.79,-0.22,-0.91,4058.0,35,115.9
110,胡瓏貿,0.74,0.43,-0.4,3006.0,33,91.1
25,林金榜,0.74,0.71,0.14,1225.0,23,53.3
44,黃泓瀚,0.63,0.36,-0.27,2664.0,34,78.4
74,王子綱,0.62,-0.52,-1.07,600.0,16,37.5
3001,艾力克,0.62,-0.06,-0.59,3269.0,26,125.7
32,奧帝,0.59,1.43,0.55,1820.0,15,121.3
109,于煥亞,0.58,0.69,0.17,4254.0,35,121.5
3129,董永全,0.48,0.51,-0.11,1669.0,19,87.8
69,威廉斯,0.47,0.26,-0.18,4736.0,30,157.9
85,周伯勳,0.47,0.65,0.18,753.0,18,41.8
68,克羅馬,0.46,0.31,0.14,5835.0,32,182.3
7894,努利,0.41,2.7,1.98,3878.0,21,184.7
91,簡偉儒,0.38,-0.16,-0.6,191.0,9,21.2
3653,史密斯,0.38,-0.33,-0.51,477.0,5,95.4
5259,達爾,0.31,-0.31,-0.77,442.0,4,110.5
124,邱子軒,0.29,-0.02,0.07,2420.0,19,127.4
11,蘇奕晉,0.27,1.18,0.91,1362.0,20,68.1
49,浩勝,0.25,-0.52,-0.96,453.0,3,151.0
122,陳懷安,0.24,0.43,-0.05,3047.0,33,92.3
115,吳怡斌,0.22,-0.08,-0.26,78.0,4,19.5
59,林孟學,0.21,0.01,-0.23,21.0,2,10.5
5258,艾吉,0.15,0.01,-0.45,2747.0,20,137.3
53,葛瑞飛,0.15,-0.11,-0.42,1014.0,7,144.9
10,雷蒙恩,0.14,0.35,0.07,4794.0,36,133.2
8888,飛馳,0.13,1.37,1.04,2004.0,12,167.0
86,林俊吉,0.11,0.16,0.03,4099.0,30,136.6
9481,席樂,0.1,0.14,-0.08,119.0,1,119.0
2,江均,0.07,0.66,0.48,565.0,21,26.9
6,林宜輝,0.07,-0.06,-0.08,72.0,4,18.0
18,塞瑟夫,0.06,-0.66,-0.7,519.0,4,129.8
47,曾文鼎,0.05,-0.99,-1.2,2571.0,33,77.9
92,克拉,0.05,0.07,-0.03,3813.0,23,165.8
121,吳曉謹,0.04,-0.39,-0.55,2149.0,32,67.2
36,劉人豪,0.01,-0.62,-0.56,397.0,10,39.7
37,劉旻諺,-0.01,-0.14,-0.12,20.0,2,10.0
71,李漢昇,-0.01,-0.41,-0.28,2889.0,30,96.3
41,周承睿,-0.01,-0.14,-0.12,20.0,2,10.0
102,容毅燊,-0.02,-0.15,-0.16,32.0,2,16.0
7,孫思堯,-0.04,0.04,0.09,3.0,1,3.0
51,克力斯,-0.05,-0.94,-0.74,3573.0,25,142.9
79,張宗憲,-0.05,0.41,0.38,1976.0,23,85.9
40,謝亞軒,-0.06,0.17,0.28,6022.0,36,167.3
76,曾柏喻,-0.06,0.09,0.19,1071.0,19,56.4
100,霍立飛,-0.07,-0.74,-0.44,1261.0,11,114.6
93,米克獅,-0.07,-0.21,-0.01,4137.0,31,133.5
67,桑德斯,-0.11,0.1,0.27,86.0,1,86.0
9480,龍查,-0.11,-1.11,-0.68,1063.0,7,151.9
35,李睿麒,-0.14,1.35,1.48,1534.0,32,47.9
9182,圖霸,-0.14,0.2,0.18,1012.0,8,126.5
72,姜廣謙,-0.15,-0.34,-0.16,97.0,5,19.4
12,曹薰襄,-0.18,-1.34,-1.11,1186.0,22,53.9
119,余純安,-0.18,0.43,0.74,1167.0,32,36.5
1,丁聖儒,-0.18,-1.32,-0.99,4588.0,35,131.1
9,張耕淯,-0.19,0.3,0.44,521.0,18,28.9
43,林韋翰,-0.19,-0.05,-0.07,2443.0,19,128.6
123,勤明慶,-0.2,-0.11,0.24,411.0,14,29.4
1860,呂宗霖,-0.22,-0.32,-0.31,251.0,5,50.2
82,蕭順議,-0.22,-0.24,-0.01,3192.0,33,96.7
8457,莫爾曼,-0.25,-0.07,0.02,1933.0,13,148.7
61,陳俊翰,-0.38,-0.62,-0.21,128.0,16,8.0
105,揚科維奇,-0.39,-0.16,0.15,80.0,1,80.0
60,黃鎮,-0.4,0.15,0.56,2969.0,36,82.5
4182,敢搏,-0.45,-0.42,0.2,203.0,2,101.5
99,盧冠良,-0.48,-0.42,0.22,1859.0,26,71.5
81,王振原,-0.5,-0.63,-0.22,142.0,8,17.8
116,呂威霆,-0.51,-0.8,-0.17,584.0,19,30.7
96,力契,-0.52,-0.06,0.56,123.0,1,123.0
15,牧倫斯,-0.53,-0.29,0.34,116.0,1,116.0
42,譚傑龍,-0.54,-0.38,0.16,46.0,3,15.3
5,黃聰翰,-0.58,-0.61,0.16,2244.0,22,102.0
114,比斯赫,-0.58,-0.14,0.24,273.0,3,91.0
50,銳尼,-0.59,-0.7,0.31,1039.0,6,173.2
97,史承平,-0.6,-0.79,-0.31,222.0,9,24.7
46,徐宇煇,-0.62,-0.23,0.38,12.0,1,12.0
20,陳俊男,-0.63,-0.49,0.03,2095.0,32,65.5
112,布銳克曼,-0.64,-0.08,0.65,803.0,6,133.8
55,汪哲宇,-0.64,-0.68,-0.02,167.0,16,10.4
84,李家瑞,-0.7,-0.43,0.27,78.0,4,19.5
88,盧冠軒,-0.71,0.01,0.65,3370.0,26,129.6
4,張兆辰,-0.72,-0.28,0.47,271.0,12,22.6
14,錢肯尼,-0.73,-0.23,0.53,2626.0,23,114.2
62,王皓吉,-0.74,0.74,1.34,3080.0,30,102.7
27,林力仁,-0.78,-0.79,0.14,393.0,15,26.2
48,李沛澄,-0.89,-0.97,0.07,806.0,23,35.0
867,桑尼,-0.91,0.52,1.58,2238.0,16,139.9
38,余維豪,-0.91,-0.66,0.13,467.0,9,51.9
8887,摩爾特里,-0.93,-0.62,0.24,184.0,2,92.0
108,魏莨哲,-0.95,-0.12,0.78,1271.0,24,53.0
8314,羅斯,-0.96,0.46,1.26,552.0,5,110.4
90,李啓瑋,-1.05,-0.43,0.65,3751.0,36,104.2
64,劉元凱,-1.08,-1.12,-0.13,1297.0,31,41.8
22,簡祐哲,-1.08,-0.49,0.59,3327.0,33,100.8
83,吳家駿,-1.1,-0.37,0.65,2795.0,34,82.2
8456,艾斯卡,-1.13,-1.68,-0.76,1217.0,11,110.6
17,奧利佛,-1.18,-0.88,0.42,803.0,5,160.6
3,陳文宏,-1.2,-0.46,0.67,3805.0,35,108.7
2999,羅賓森,-1.37,-0.51,0.73,1276.0,10,127.6
70,阿修羅,-1.38,-0.47,0.8,546.0,6,91.0
56,丁冠皓,-1.43,-1.54,-0.05,2591.0,33,78.5
101,周柏臣,-1.44,-1.31,0.07,872.0,24,36.3
75,高國豪,-1.5,0.72,2.19,4250.0,33,128.8
1859,柯南,-1.51,-1.13,-0.0,877.0,7,125.3
28,呂政儒,-1.53,-0.31,1.22,1303.0,20,65.2
8455,班尼特,-1.53,-0.7,0.94,684.0,5,136.8
89,蔣淯安,-1.7,-0.79,0.6,1630.0,13,125.4
2237,帕奇爾,-1.7,-0.38,1.26,1435.0,10,143.5
24,蘇士軒,-1.78,-1.49,0.23,2887.0,33,87.5
57,莊博元,-1.79,-1.26,0.56,437.0,25,17.5
113,林任鴻,-1.94,-1.55,0.28,2385.0,34,70.1
73,陳振傑,-2.02,-1.95,0.36,2125.0,31,68.5
13,陳冠全,-2.07,-1.08,0.87,1850.0,33,56.1
117,摩爾斯,-2.09,-0.72,1.45,5165.0,35,147.6
45,施晉堯,-2.19,-2.82,-0.6,4034.0,36,112.1
23,王柏智,-2.24,-1.05,1.22,980.0,25,39.2
19,蘇培凱,-3.56,-1.97,1.45,712.0,23,31.0
